LEANM,SEARCH PARAMS,URL,WGET INDEX,ADDRESS,SCHOOL ID,RDM #,WAYBACK URL,LEVEL,SURVYEAR,NCESSCH,FIPST,LEAID,SCHNO,STID,SEASCH,LEANM,SCHNAM,PHONE,MSTREE,MCITY,MSTATE,MZIP,MZIP4,LSTREE,LCITY,LSTATE,LZIP,LZIP4,TYPE,STATUS,UNION,ULOCAL,LATCOD,LONCOD,CONUM,CONAME,CDCODE,BIES,RECONSTY,RECONSTF,SMEMPUP,ISMEMPUP,SFTEPUP,ISFTEPUP,SFLE,ISFLE,SPFEMALE,ISPFEMALE,SPWHITE,ISPWHITE,SPELM,ISPELM,FTE,GSLO,GSHI,PKOFFRD,KGOFFRD,G01OFFRD,G02OFFRD,G03OFFRD,G04OFFRD,G05OFFRD,G06OFFRD,G07OFFRD,G08OFFRD,G09OFFRD,G10OFFRD,G11OFFRD,G12OFFRD,UGOFFRD,LEVEL,TITLEISTAT,TITLEI,STITLI,MAGNET,CHARTR,SHARED,FRELCH,REDLCH,TOTFRL,PK,AMPKM,AMPKF,ASPKM,ASPKF,HIPKM,HIPKF,BLPKM,BLPKF,WHPKM,WHPKF,HPPKM,HPPKF,TRPKM,TRPKF,KG,AMKGM,AMKGF,ASKGM,ASKGF,HIKGM,HIKGF,BLKGM,BLKGF,WHKGM,WHKGF,HPKGM,HPKGF,TRKGM,TRKGF,G01,AM01M,AM01F,AS01M,AS01F,HI01M,HI01F,BL01M,BL01F,WH01M,WH01F,HP01M,HP01F,TR01M,TR01F,G02,AM02M,AM02F,AS02M,AS02F,HI02M,HI02F,BL02M,BL02F,WH02M,WH02F,HP02M,HP02F,TR02M,TR02F,G03,AM03M,AM03F,AS03M,AS03F,HI03M,HI03F,BL03M,BL03F,WH03M,WH03F,HP03M,HP03F,TR03M,TR03F,G04,AM04M,AM04F,AS04M,AS04F,HI04M,HI04F,BL04M,BL04F,WH04M,WH04F,HP04M,HP04F,TR04M,TR04F,G05,AM05M,AM05F,AS05M,AS05F,HI05M,HI05F,BL05M,BL05F,WH05M,WH05F,HP05M,HP05F,TR05M,TR05F,G06,AM06M,AM06F,AS06M,AS06F,HI06M,HI06F,BL06M,BL06F,WH06M,WH06F,HP06M,HP06F,TR06M,TR06F,G07,AM07M,AM07F,AS07M,AS07F,HI07M,HI07F,BL07M,BL07F,WH07M,WH07F,HP07M,HP07F,TR07M,TR07F,G08,AM08M,AM08F,AS08M,AS08F,HI08M,HI08F,BL08M,BL08F,WH08M,WH08F,HP08M,HP08F,TR08M,TR08F,G09,AM09M,AM09F,AS09M,AS09F,HI09M,HI09F,BL09M,BL09F,WH09M,WH09F,HP09M,HP09F,TR09M,TR09F,G10,AM10M,AM10F,AS10M,AS10F,HI10M,HI10F,BL10M,BL10F,WH10M,WH10F,HP10M,HP10F,TR10M,TR10F,G11,AM11M,AM11F,AS11M,AS11F,HI11M,HI11F,BL11M,BL11F,WH11M,WH11F,HP11M,HP11F,TR11M,TR11F,G12,AM12M,AM12F,AS12M,AS12F,HI12M,HI12F,BL12M,BL12F,WH12M,WH12F,HP12M,HP12F,TR12M,TR12F,UG,AMUGM,AMUGF,ASUGM,ASUGF,HIUGM,HIUGF,BLUGM,BLUGF,WHUGM,WHUGF,HPUGM,HPUGF,TRUGM,TRUGF,MEMBER,AM,AMALM,AMALF,ASIAN,ASALM,ASALF,HISP,HIALM,HIALF,BLACK,BLALM,BLALF,WHITE,WHALM,WHALF,PACIFIC,HPALM,HPALF,TR,TRALM,TRALF,TOTETH,VIRTUALSTAT,NSLPSTATUS,CHARTAUTH1,CHARTAUTH2
CAMDEN'S PRIDE CHARTER SCHOOL,"CAMDEN'S PRIDE CHARTER SCHOOL 879 BEIDEMAN AVE, CAMDEN, NJ",http://www.promiseacademycharter.org/pride/,82,"879 BEIDEMAN AVE, CAMDEN, NJ",NJ906,0.091696735,https://web.archive.org/web/*/http://www.promiseacademycharter.org/pride/,1,2013,3.40E+11,34,3400721,3019,806024,906,CAMDEN'S PRIDE CHARTER SCHOOL,CAMDEN'S PRIDE CHARTER SCHOOL,8563651000,879 BEIDEMAN AVE,CAMDEN,NJ,8105,0,879 BEIDEMAN AVE,CAMDEN,NJ,8105,0,1,1,0,13,39.9572,-75.0855,34007,CAMDEN COUNTY,3401,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,28,KG,4,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,5,1,1,M,1,2,195,24,219,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,45,0,0,0,0,19,26,0,0,0,0,0,0,0,0,51,0,0,1,0,14,28,4,4,0,0,0,0,0,0,49,0,0,0,0,17,24,3,5,0,0,0,0,0,0,48,0,0,0,0,21,14,5,8,0,0,0,0,0,0,48,0,0,0,1,21,14,7,5,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,2,1,1,198,92,106,41,19,22,0,0,0,0,0,0,0,0,0,241,VIRTUALNO,NSLPWOPRO,34,M
PRESTIGE ACADEMY,"PRESTIGE ACADEMY 1121 THATCHER ST, WILMINGTON, DE",http://www.prestigeacademycs.org/,83,"1121 THATCHER ST, WILMINGTON, DE",DE566,0.832162409,https://web.archive.org/web/*/http://www.prestigeacademycs.org/,2,2013,1.00E+11,10,1000048,338,67,566,PRESTIGE ACADEMY,PRESTIGE ACADEMY,3027623240,1121 THATCHER STREET,WILMINGTON,DE,19802,0,1121 THATCHER ST,WILMINGTON,DE,19802,0,1,1,0,13,39.7428,-75.5363,10003,NEW CASTLE COUNTY,1000,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,21,5,8,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,5,1,1,2,1,2,174,0,174,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,49,0,0,0,0,0,0,48,0,1,0,0,0,0,0,86,0,0,0,0,0,0,83,0,2,0,0,0,1,0,84,0,0,0,0,0,0,80,0,3,0,1,0,0,0,68,0,0,0,0,4,0,61,0,3,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,287,0,0,0,0,0,0,4,4,0,272,272,0,9,9,0,1,1,0,1,1,0,287,N,NSLPNO,DOE01,M
PORTAGE COMMUNITY SCHOOL DISTRICT,"PORTAGE ACADEMY OF ACHIEVEMENT 117 WEST FRANKLIN ST, PORTAGE, WI",http://www.portage.k12.wi.us/,84,"117 WEST FRANKLIN ST, PORTAGE, WI",WI400,0.5780428,https://web.archive.org/web/*/http://www.portage.k12.wi.us/,3,2013,5.51E+11,55,5512060,2174,4501,400,PORTAGE COMMUNITY SCHOOL DISTRICT,PORTAGE ACADEMY OF ACHIEVEMENT,6087450887,117 W FRANKLIN ST,PORTAGE,WI,53901,3424,117 WEST FRANKLIN ST,PORTAGE,WI,53901,3424,1,1,0,32,43.5436,-89.464,55021,COLUMBIA COUNTY,5506,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,1,9,12,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,1,1,2,2,1,2,14,0,14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,5,3,0,0,0,0,19,1,0,0,0,0,1,0,0,5,11,0,0,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,28,2,2,0,0,0,0,1,0,1,0,0,0,24,10,14,0,0,0,1,1,0,28,VIRTUALNO,NSLPWOPRO,4501,M
POLK,"BERKLEY ACCELERATED MIDDLE SCHOOL 5316 BERKLEY RD, AUBURNDALE, FL",http://www.polk-fl.net/berkleyelm/,85,"5316 BERKLEY RD, AUBURNDALE, FL",FL8142,0.518565113,https://web.archive.org/web/*/http://www.polk-fl.net/berkleyelm/,2,2013,1.20E+11,12,1201590,4188,53,8142,POLK,BERKLEY ACCELERATED MIDDLE SCHOOL,8639842400,5316 BERKLEY RD,AUBURNDALE,FL,33823,8493,5316 BERKLEY RD,AUBURNDALE,FL,33823,8493,1,1,0,22,28.1417,-81.8213,12105,POLK COUNTY,1210,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,25,6,8,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,1,2,130,48,178,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,165,0,1,1,0,12,13,2,3,58,67,0,0,2,6,162,0,0,0,3,14,14,6,2,62,54,0,0,2,5,153,0,0,1,1,8,10,5,4,63,57,0,0,3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,480,1,0,1,6,2,4,71,34,37,22,13,9,361,183,178,0,0,0,19,7,12,480,VIRTUALNO,NSLPWOPRO,1201590,M
PICKERINGTON COMMUNITY SCHOOL,"PICKERINGTON COMMUNITY SCHOOL 7800 REFUGEE RD, PICKERINGTON, OH",http://www.pickerington.k12.oh.us/,86,"7800 REFUGEE RD, PICKERINGTON, OH",OH12497,0.062699348,https://web.archive.org/web/*/http://www.pickerington.k12.oh.us/,3,2013,3.90E+11,39,3901442,5685,12497,12497,PICKERINGTON COMMUNITY SCHOOL,PICKERINGTON COMMUNITY SCHOOL,6148302755,7800 REFUGEE RD,PICKERINGTON,OH,43147,7987,7800 REFUGEE RD,PICKERINGTON,OH,43147,7987,1,1,0,21,39.9077,-82.7337,39045,FAIRFIELD COUNTY,3915,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,5.39,9,12,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,6,2,N,N,1,2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,1,0,2,2,4,4,0,0,0,1,27,0,0,0,0,1,1,4,3,5,9,0,1,1,2,46,1,0,2,0,3,0,5,5,22,4,0,0,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,88,1,1,0,2,2,0,6,5,1,22,12,10,48,31,17,1,0,1,8,3,5,88,VIRTUALNO,NSLPNO,46896,M
COLUMBUS PERFORMANCE ACADEMY,"COLUMBUS PERFORMANCE ACADEMY 274 EAST 1ST AVE, COLUMBUS, OH",http://www.performanceacademies.com/,87,"274 EAST 1ST AVE, COLUMBUS, OH",OH12011,0.238083078,https://web.archive.org/web/*/http://www.performanceacademies.com/,1,2013,3.90E+11,39,3901398,5612,12011,12011,COLUMBUS PERFORMANCE ACADEMY,COLUMBUS PERFORMANCE ACADEMY,6143180720,2 EASTON OVAL STE 525,COLUMBUS,OH,43219,7008,274 EAST 1ST AVE,COLUMBUS,OH,43201,3692,1,1,0,11,39.9815,-82.9966,39049,FRANKLIN COUNTY,3903,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,15.81,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,5,1,1,N,1,2,136,5,141,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,33,0,0,0,0,0,1,12,11,1,1,0,0,4,3,40,0,0,0,0,1,1,15,12,2,5,0,0,3,1,25,0,0,0,0,2,2,10,5,1,1,0,0,3,1,33,0,0,0,0,1,2,8,13,3,3,0,0,1,2,19,0,0,0,0,1,0,9,7,0,0,0,0,1,1,17,0,0,0,0,0,0,5,6,0,3,0,0,3,0,17,0,0,0,0,0,0,10,6,0,1,0,0,0,0,16,0,0,0,0,0,0,9,6,0,1,0,0,0,0,9,0,0,0,0,0,1,3,4,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,209,0,0,0,0,0,0,12,5,7,151,81,70,22,7,15,0,0,0,24,15,9,209,VIRTUALNO,NSLPWOPRO,862,M
PEAK SCHOOL INC.  THE,"THE PEAK SCHOOL 2016 NORTH FIRST ST A AND B, FLAGSTAFF, AZ",http://www.peakschool.org/,88,"2016 NORTH FIRST ST A AND B, FLAGSTAFF, AZ",AZ79884,0.867840096,https://web.archive.org/web/*/http://www.peakschool.org/,1,2013,40035002286,4,400350,2286,79866,79884,PEAK SCHOOL INC.  THE,THE PEAK SCHOOL,9287790771,2016 NORTH FIRST STREET A & B,FLAGSTAFF,AZ,86004,0,2016 NORTH FIRST ST A AND B,FLAGSTAFF,AZ,86004,0,1,1,0,13,35.2082,-111.6174,4005,COCONINO COUNTY,401,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,-1,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,5,1,1,2,1,2,102,15,117,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,24,3,4,0,0,4,7,0,0,2,4,0,0,0,0,13,3,3,0,0,0,3,0,0,2,2,0,0,0,0,15,6,3,0,0,2,2,0,0,1,0,0,0,0,1,14,2,5,0,0,3,2,0,0,0,2,0,0,0,0,16,1,2,0,0,3,5,0,0,1,3,0,0,0,1,16,1,4,0,0,5,2,0,0,1,3,0,0,0,0,18,1,2,0,0,6,7,0,0,1,1,0,0,0,0,12,1,1,0,0,5,1,1,0,1,2,0,0,0,0,7,1,1,0,0,2,2,0,0,0,1,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,44,19,25,0,0,0,61,30,31,1,1,0,27,9,18,0,0,0,2,0,2,135,VIRTUALNO,NSLPWOPRO,10500,M
WICKENBURG UNIFIED DISTRICT,"VULTURE PEAK MIDDLE SCHOOL 920 SOUTH VULTURE MINE RD, WICKENBURG, AZ",http://www.vulturepeak.wickenburgschools.org,89,"920 SOUTH VULTURE MINE RD, WICKENBURG, AZ",AZ4986,0.127460333,https://web.archive.org/web/*/http://www.peakschool.org/,2,2013,40919000953,4,409190,953,4236,4986,WICKENBURG UNIFIED DISTRICT,VULTURE PEAK MIDDLE SCHOOL,9286685350,920 SOUTH VULTURE MINE RD.,WICKENBURG,AZ,85390,9999,920 SOUTH VULTURE MINE RD,WICKENBURG,AZ,85390,9999,1,1,0,41,33.9554,-112.7746,4013,MARICOPA COUNTY,404,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,12.5,4,8,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,5,1,1,2,1,2,100,15,115,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,16,5,0,0,25,13,0,0,0,0,73,0,0,0,0,15,12,0,0,26,19,0,0,0,1,76,1,0,0,0,14,8,0,0,27,26,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,208,1,1,0,0,0,0,70,45,25,0,0,0,136,78,58,0,0,0,1,0,1,208,VIRTUALNO,NSLPWOPRO,4236,M
PRAIRIE DU CHIEN AREA SCHOOL DISTRICT,"MIGHTY RIVER ACADEMY OF VIRTUAL EDUCATION 800 EAST CRAWFORD ST, PRAIRIE DU CHIEN, WI",http://www.pdc.k12.wi.us/mightyriver/,90,"800 EAST CRAWFORD ST, PRAIRIE DU CHIEN, WI",WI800,0.58306358,https://web.archive.org/web/*/http://www.pdc.k12.wi.us/mightyriver/,4,2013,5.51E+11,55,5512150,2944,4543,800,PRAIRIE DU CHIEN AREA SCHOOL DISTRICT,MIGHTY RIVER ACADEMY OF VIRTUAL EDUCATION,6083263703,800 E CRAWFORD ST,PRAIRIE DU CHIEN,WI,53821,2399,800 EAST CRAWFORD ST,PRAIRIE DU CHIEN,WI,53821,2399,1,3,0,33,43.0426,-91.1376,55023,CRAWFORD COUNTY,5503,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,1.04,KG,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,2,2,1,2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VIRTUALYES,NSLPWOPRO,4543,M
PASADENA UNIFIED,"PASADENA ROSEBUD ACADEMY MIDDLE 3544 NORTH CANON BLVD, ALTADENA, CA",http://www.pasadenarosebud.com/,91,"3544 NORTH CANON BLVD, ALTADENA, CA",CA128017,0.294231735,https://web.archive.org/web/*/http://www.pasadenarosebud.com/,2,2013,62994013386,6,629940,13386,1964881,128017,PASADENA UNIFIED,PASADENA ROSEBUD ACADEMY MIDDLE,6267977704,3544 N. CANON BLVD.,ALTADENA,CA,91001,0,3544 NORTH CANON BLVD,ALTADENA,CA,91001,0,1,3,0,21,34.2051,-118.1357,6037,LOS ANGELES COUNTY,627,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,2,7,8,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,M,M,M,2,1,M,6,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,13,0,0,0,0,1,1,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,13,0,0,0,0,0,0,2,1,1,9,6,3,2,0,2,0,0,0,0,0,0,13,N,NSLPNO,629940,M
MANATEE,"PALMETTO CHARTER SCHOOL 1607 17TH ST WEST, PALMETTO, FL",http://www.palmettocharterschool.org/,92,"1607 17TH ST WEST, PALMETTO, FL",FL2131,0.733324645,https://web.archive.org/web/*/http://www.palmettocharterschool.org/,1,2013,1.20E+11,12,1201230,7772,41,2131,MANATEE,PALMETTO CHARTER SCHOOL,9417233711,1607 17TH ST W,PALMETTO,FL,34221,6151,1607 17TH ST WEST,PALMETTO,FL,34221,6151,1,1,0,21,27.5286,-82.5841,12081,MANATEE COUNTY,1216,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,28,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,6,2,N,2,1,2,101,21,122,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,36,0,0,0,0,1,1,0,1,10,22,0,0,1,0,37,0,0,0,0,3,2,5,1,17,9,0,0,0,0,37,0,0,0,0,5,1,1,1,12,17,0,0,0,0,36,0,0,0,0,1,5,4,3,11,12,0,0,0,0,37,0,0,0,0,5,2,3,2,16,8,0,0,0,1,48,0,0,0,0,7,2,2,2,17,18,0,0,0,0,43,0,0,0,0,4,2,1,1,22,13,0,0,0,0,44,0,0,0,0,5,3,1,0,16,17,0,0,1,1,45,0,0,0,0,0,3,6,3,14,18,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,363,0,0,0,0,0,0,52,31,21,37,23,14,269,135,134,0,0,0,5,2,3,363,VIRTUALNO,NSLPWOPRO,1201230,M
