#Script/Language Identifier zh
#Script/Language Description Chinese
#
Version 1 20120329
#
#This is the Chinese IDN Table for the proposed TLD.
#
#It was derived from the following sources:
#
#    IDN Character Table for CNNIC: http://www.iana.org/domains/idn-tables/tables/cn_zh-cn_4.0.html
#    IDN Character Table for TWNIC: http://www.iana.org/domains/idn-tables/tables/tw_zh-tw_4.0.1.html
#
#For each code point in the repertoire specified in the tables above, the preferred variants from each table are merged to yield both the traditional and simplified forms (if they differ). Similarly, the other variants from each table are merged.
#
#Format
#
#This table is an adaptation of the table format specified in RFC 3743. Columns are delimited by semicolon, in the form of:
#
#CODE POINT;CANONICAL CODE POINT;PREFERRED VARIANTS[;OTHER VARIANTS]
#
#The "CODE POINT" column specifies the code point available for registration.
#The "CANONICAL CODE POINT" column specifies an internal code point used for the efficient blocking of variant labels.
#The "PREFERRED VARIANTS" column lists the preferred variants that are related to the given code point in the first column.
#The "OTHER VARIANTS" column, if present, lists other variants that are related to the given code point in the first column.
#These preferred variants are separated by commas.
#Acknowledgements
#
#Donuts, Inc. would like to express its gratitude towards CNNIC and TWNIC for publishing their respective tables for the benefit of the community.
U+5D24;U+5D24;U+5D24	# ?;?;?;
U+5D25;U+5D25;U+5D25	# ?;?;?;
U+5D26;U+5D26;U+5D26	# ?;?;?;
U+5D27;U+5D27;U+5D27	# ?;?;?;
U+5D28;U+5D28;U+5D28	# ?;?;?;
U+5D29;U+5D29;U+5D29	# ?;?;?;
U+5D2A;U+5D2A;U+5D2A	# ?;?;?;
U+5D2C;U+5CBD;U+5CBD,U+5D2C	# ?;?;?,?;
U+5D2D;U+5D2D;U+5D2D,U+5D84	# ?;?;?,?;
U+5D2E;U+5D2E;U+5D2E	# ?;?;?;
U+5D30;U+5D30;U+5D30	# ?;?;?;
U+5D31;U+5D31;U+5D31	# ?;?;?;
U+5D32;U+5D32;U+5D32	# ?;?;?;
U+5D33;U+5D33;U+5D33	# ?;?;?;
U+5D34;U+5D34;U+5D34	# ?;?;?;
U+5D35;U+5D35;U+5D35	# ?;?;?;
U+5D36;U+5D36;U+5D36	# ?;?;?;
U+5D37;U+5D37;U+5D37	# ?;?;?;
U+5D38;U+5D38;U+5D38	# ?;?;?;
U+5D39;U+5D39;U+5D39	# ?;?;?;
U+5D3A;U+5D3A;U+5D3A	# ?;?;?;
U+5D3C;U+5D3C;U+5D3C	# ?;?;?;
U+5D3D;U+5D3D;U+5D3D	# ?;?;?;
U+5D3E;U+5D3E;U+5D3E	# ?;?;?;
U+5D3F;U+5D3F;U+5D3F	# ?;?;?;
U+5D40;U+5D40;U+5D40	# ?;?;?;
U+5D41;U+5D41;U+5D41	# ?;?;?;
U+5D42;U+5D42;U+5D42	# ?;?;?;
U+5D43;U+5D43;U+5D43	# ?;?;?;
U+5D44;U+5D44;U+5D44	# ?;?;?;
U+5D45;U+5D45;U+5D45	# ?;?;?;
U+5D46;U+5D47;U+5D47	# ?;?;?;
U+5D47;U+5D47;U+5D47;U+5D46	# ?;?;?;?
U+5D48;U+5D48;U+5D48	# ?;?;?;
U+5D49;U+5D49;U+5D49	# ?;?;?;
U+5D4A;U+5D4A;U+5D4A	# ?;?;?;
U+5D4B;U+5D4B;U+5D4B	# ?;?;?;
U+5D4C;U+5D4C;U+5D4C	# ?;?;?;
U+5D4D;U+5D4D;U+5D4D	# ?;?;?;
U+5D4E;U+5D4E;U+5D4E	# ?;?;?;
U+5D4F;U+5D4F;U+5D4F;U+5D55	# ?;?;?;?
U+5D50;U+5C9A;U+5C9A,U+5D50	# ?;?;?,?;
U+5D51;U+5D51;U+5D51	# ?;?;?;
U+5D52;U+5CA9;U+5CA9,U+5D52;U+5DD6,U+55A6,U+58E7,U+7939,U+5DCC,U+789E	# ?;?;?,?;?,?,?,?,?,?
U+5D54;U+5D54;U+5D54	# ?;?;?;
U+5D55;U+5D4F;U+5D4F,U+5D55	# ?;?;?,?;
U+5D56;U+5D56;U+5D56	# ?;?;?;
U+5D58;U+5D58;U+5D58,U+5DB8	# ?;?;?,?;
U+5D59;U+5D59;U+5D59	# ?;?;?;
U+5D5A;U+5D5A;U+5D5A,U+5D94	# ?;?;?,?;
U+5D5B;U+5D5B;U+5D5B	# ?;?;?;
U+5D5D;U+5D5D;U+5D5D,U+5D81	# ?;?;?,?;
U+5D5E;U+5D5E;U+5D5E	# ?;?;?;
U+5D5F;U+5D5F;U+5D5F	# ?;?;?;
U+5D61;U+5D61;U+5D61	# ?;?;?;
U+5D62;U+5D62;U+5D62	# ?;?;?;
U+5D63;U+5D63;U+5D63	# ?;?;?;
U+5D64;U+5D64;U+5D64	# ?;?;?;
U+5D65;U+5D65;U+5D65	# ?;?;?;
U+5D66;U+5D66;U+5D66	# ?;?;?;
U+5D67;U+5D67;U+5D67	# ?;?;?;
U+5D68;U+5D68;U+5D68	# ?;?;?;
U+5D69;U+5D69;U+5D69	# ?;?;?;
U+5D6A;U+5D6A;U+5D6A	# ?;?;?;
U+5D6B;U+5D6B;U+5D6B	# ?;?;?;
U+5D6C;U+5D6C;U+5D6C	# ?;?;?;
U+5D6D;U+5D6D;U+5D6D	# ?;?;?;
U+5D6E;U+5D6E;U+5D6E	# ?;?;?;
U+5D6F;U+5D6F;U+5D6F;U+5D73	# ?;?;?;?
U+5D70;U+5D70;U+5D70	# ?;?;?;
U+5D71;U+5D71;U+5D71	# ?;?;?;
U+5D72;U+5D72;U+5D72	# ?;?;?;
U+5D73;U+5D6F;U+5D6F	# ?;?;?;
U+5D74;U+5D74;U+5D74	# ?;?;?;
U+5D75;U+5D75;U+5D75	# ?;?;?;
U+5D76;U+5D76;U+5D76	# ?;?;?;
U+5D77;U+5D77;U+5D77	# ?;?;?;
U+5D78;U+5D78;U+5D78	# ?;?;?;
U+5D79;U+5D79;U+5D79	# ?;?;?;
U+5D7A;U+5D7A;U+5D7A	# ?;?;?;
U+5D7B;U+5D7B;U+5D7B	# ?;?;?;
U+5D7C;U+5D7C;U+5D7C	# ?;?;?;
U+5D7D;U+5D7D;U+5D7D	# ?;?;?;
U+5D7E;U+5D7E;U+5D7E	# ?;?;?;
U+5D7F;U+5D7F;U+5D7F	# ?;?;?;
U+5D80;U+5D80;U+5D80	# ?;?;?;
U+5D81;U+5D5D;U+5D5D,U+5D81	# ?;?;?,?;
U+5D82;U+5D82;U+5D82	# ?;?;?;
U+5D84;U+5D2D;U+5D2D,U+5D84	# ?;?;?,?;
U+5D85;U+5D85;U+5D85	# ?;?;?;
U+5D86;U+5D86;U+5D86	# ?;?;?;
U+5D87;U+5C96;U+5C96,U+5D87	# ?;?;?,?;
U+5D88;U+5D88;U+5D88	# ?;?;?;
U+5D89;U+5D89;U+5D89	# ?;?;?;
U+5D8A;U+5D8A;U+5D8A	# ?;?;?;
U+5D8B;U+5C9B;U+5C9B,U+5CF6;U+5D8C	# ?;?;?,?;?
U+5D8C;U+5C9B;U+5C9B,U+5CF6;U+5D8B	# ?;?;?,?;?
U+5D8D;U+5D8D;U+5D8D	# ?;?;?;
U+5D8E;U+5D8E;U+5D8E	# ?;?;?;
U+5D8F;U+5D8F;U+5D8F	# ?;?;?;
U+5D90;U+5D90;U+5D90	# ?;?;?;
U+5D91;U+5D91;U+5D91	# ?;?;?;
U+5D92;U+5D92;U+5D92	# ?;?;?;
U+5D93;U+5D93;U+5D93	# ?;?;?;
U+5D94;U+5D5A;U+5D5A,U+5D94	# ?;?;?,?;
U+5D95;U+5D95;U+5D95	# ?;?;?;
U+5D97;U+5D02;U+5D02,U+5D97	# ?;?;?,?;
U+5D98;U+5D98;U+5D98	# ?;?;?;
U+5D99;U+5D99;U+5D99	# ?;?;?;
U+5D9A;U+5D9A;U+5D9A	# ?;?;?;
U+5D9B;U+5D9B;U+5D9B	# ?;?;?;
U+5D9C;U+5D9C;U+5D9C	# ?;?;?;
U+5D9D;U+5D9D;U+5D9D	# ?;?;?;
U+5D9E;U+5D9E;U+5D9E	# ?;?;?;
U+5D9F;U+5D9F;U+5D9F	# ?;?;?;
U+5DA0;U+5CE4;U+5CE4,U+5DA0	# ?;?;?,?;
U+5DA1;U+5DA1;U+5DA1	# ?;?;?;
U+5DA2;U+5CE3;U+5CE3,U+5DA2	# ?;?;?,?;
U+5DA5;U+5DA5;U+5DA5	# ?;?;?;
U+5DA6;U+5DA6;U+5DA6	# ?;?;?;
U+5DA7;U+5CC4;U+5CC4,U+5DA7	# ?;?;?,?;
U+5DA8;U+5CC3;U+5CC3,U+5DA8	# ?;?;?,?;
U+5DA9;U+5CF1;U+5CF1,U+5DA9	# ?;?;?,?;
U+5DAA;U+5DAA;U+5DAA	# ?;?;?;
U+5DAC;U+5DAC;U+5DAC	# ?;?;?;
U+5DAD;U+5DAD;U+5DAD	# ?;?;?;
U+5DAE;U+5D04;U+5D04,U+5DAE	# ?;?;?,?;
U+5DAF;U+5DAF;U+5DAF	# ?;?;?;
U+5DB0;U+5DB0;U+5DB0	# ?;?;?;
U+5DB1;U+5DB1;U+5DB1	# ?;?;?;
U+5DB2;U+5DB2;U+5DB2	# ?;?;?;
U+5DB4;U+5DB4;U+5DB4	# ?;?;?;
U+5DB5;U+5DB5;U+5DB5	# ?;?;?;
U+5DB6;U+5DB6;U+5DB6	# ?;?;?;
U+5DB7;U+5DB7;U+5DB7	# ?;?;?;
U+5DB8;U+5D58;U+5D58,U+5DB8	# ?;?;?,?;
U+5DBA;U+5CAD;U+5CAD,U+5DBA;U+5CBA	# ?;?;?,?;?
U+5DBB;U+5DBB;U+5DBB	# ?;?;?;
U+5DBC;U+5C7F;U+5C7F,U+5DBC	# ?;?;?,?;
U+5DBD;U+5CB3;U+5CB3,U+5DBD	# ?;?;?,?;
U+5DBE;U+5DBE;U+5DBE	# ?;?;?;
U+5DBF;U+5DBF;U+5DBF	# ?;?;?;
U+5DC0;U+5DC0;U+5DC0	# ?;?;?;
U+5DC1;U+5DC1;U+5DC1	# ?;?;?;
U+5DC2;U+5DC2;U+5DC2	# ?;?;?;
U+5DC3;U+5DC3;U+5DC3	# ?;?;?;
U+5DC5;U+5DC5;U+5DC5,U+5DD4;U+5DD3	# ?;?;?,?;?
U+5DC6;U+5DC6;U+5DC6	# ?;?;?;
U+5DC7;U+5DC7;U+5DC7	# ?;?;?;
U+5DC8;U+5DC8;U+5DC8	# ?;?;?;
U+5DC9;U+6E10;U+6E10,U+5DC9;U+6F38	# ?;?;?,?;?
U+5DCA;U+5DCA;U+5DCA	# ?;?;?;
U+5DCB;U+5CBF;U+5CBF,U+5DCB	# ?;?;?,?;
U+5DCC;U+5CA9;U+5CA9,U+5DD6;U+7939,U+5D52,U+55A6,U+789E,U+58E7	# ?;?;?,?;?,?,?,?,?
U+5DCD;U+5DCD;U+5DCD	# ?;?;?;
U+5DCE;U+5DCE;U+5DCE	# ?;?;?;
U+5DCF;U+5DCF;U+5DCF	# ?;?;?;
U+5DD0;U+5DD0;U+5DD0	# ?;?;?;
U+5DD1;U+5DD1;U+5DD1	# ?;?;?;
U+5DD2;U+5CE6;U+5CE6,U+5DD2	# ?;?;?,?;
U+5DD3;U+5DC5;U+5DC5,U+5DD4	# ?;?;?,?;
U+5DD4;U+5DC5;U+5DC5,U+5DD4;U+5DD3	# ?;?;?,?;?
U+5DD5;U+5DD5;U+5DD5	# ?;?;?;
U+5DD6;U+5CA9;U+5CA9,U+5DD6;U+5D52,U+55A6,U+58E7,U+7939,U+5DCC,U+789E	# ?;?;?,?;?,?,?,?,?,?
U+5DD8;U+5DD8;U+5DD8	# ?;?;?;
U+5DD9;U+5DD9;U+5DD9	# ?;?;?;
U+5DDB;U+5DDB;U+5DDB	# ?;?;?;
U+5DDD;U+5DDD;U+5DDD	# ?;?;?;
U+5DDE;U+5DDE;U+5DDE	# ?;?;?;
U+5DDF;U+5DDF;U+5DDF	# ?;?;?;
U+5DE0;U+5DE0;U+5DE0	# ?;?;?;
U+5DE1;U+5DE1;U+5DE1;U+5EF5	# ?;?;?;?
U+5DE2;U+5DE2;U+5DE2;U+5DE3,U+6F05	# ?;?;?;?,?
U+5DE3;U+5DE2;U+5DE2;U+6F05	# ?;?;?;?
U+5DE4;U+5DE4;U+5DE4	# ?;?;?;
U+5DE5;U+5DE5;U+5DE5	# ?;?;?;
U+5DE6;U+5DE6;U+5DE6	# ?;?;?;
U+5DE7;U+5DE7;U+5DE7	# ?;?;?;
U+5DE8;U+5DE8;U+5DE8,U+9245;U+949C	# ?;?;?,?;?
U+5DE9;U+5DE9;U+5DE9,U+978F	# ?;?;?,?;
U+5DEA;U+5DEA;U+5DEA	# ?;?;?;
U+5DEB;U+5DEB;U+5DEB	# ?;?;?;
U+5DEC;U+5DEC;U+5DEC	# ?;?;?;
U+5DED;U+5DED;U+5DED	# ?;?;?;
U+5DEE;U+5DEE;U+5DEE	# ?;?;?;
U+5DEF;U+5DEF;U+5DEF,U+5DF0	# ?;?;?,?;
U+5DF0;U+5DEF;U+5DEF,U+5DF0	# ?;?;?,?;
U+5DF1;U+5DF1;U+5DF1	# ?;?;?;
U+5DF2;U+5DF2;U+5DF2	# ?;?;?;
U+5DF3;U+5DF3;U+5DF3	# ?;?;?;
U+5DF4;U+5DF4;U+5DF4;U+7B06	# ?;?;?;?
U+5DF5;U+536E;U+536E	# ?;?;?;
U+5DF7;U+5DF7;U+5DF7	# ?;?;?;
U+5DF8;U+5DF8;U+5DF8	# ?;?;?;
U+5DF9;U+5DF9;U+5DF9	# ?;?;?;
U+5DFA;U+5DFD;U+5DFD	# ?;?;?;
U+5DFB;U+5377;U+5377;U+6372	# ?;?;?;?
U+5DFC;U+5DFC;U+5DFC	# ?;?;?;
U+5DFD;U+5DFD;U+5DFD;U+5DFA	# ?;?;?;?
U+5DFE;U+5DFE;U+5DFE	# ?;?;?;
U+5DFF;U+5DFF;U+5DFF	# ?;?;?;
U+5E00;U+5E00;U+5E00	# ?;?;?;
U+5E01;U+5E01;U+5E01,U+5E63;U+5E64	# ?;?;?,?;?
U+5E02;U+5E02;U+5E02	# ?;?;?;
U+5E03;U+5E03;U+5E03,U+4F48	# ?;?;?,?;
U+5E04;U+5E04;U+5E04	# ?;?;?;
U+5E05;U+5E05;U+5E05,U+5E25	# ?;?;?,?;
U+5E06;U+5E06;U+5E06	# ?;?;?;
U+5E07;U+5E07;U+5E07	# ?;?;?;
U+5E08;U+5E08;U+5E08,U+5E2B	# ?;?;?,?;
U+5E09;U+5E09;U+5E09	# ?;?;?;
U+5E0A;U+5E0A;U+5E0A	# ?;?;?;
U+5E0B;U+7EB8;U+7EB8,U+7D19	# ?;?;?,?;
U+5E0C;U+5E0C;U+5E0C;U+7A00	# ?;?;?;?
U+5E0D;U+5E0D;U+5E0D	# ?;?;?;
U+5E0E;U+5E0E;U+5E0E	# ?;?;?;
U+5E0F;U+5E0F;U+5E0F,U+5E43	# ?;?;?,?;
U+5E10;U+5E10;U+5E10,U+5E33;U+8CEC,U+8D26	# ?;?;?,?;?,?
U+5E11;U+5E11;U+5E11	# ?;?;?;
U+5E13;U+5E13;U+5E13	# ?;?;?;
U+5E14;U+5E14;U+5E14	# ?;?;?;
U+5E15;U+5E15;U+5E15	# ?;?;?;
U+5E16;U+5E16;U+5E16	# ?;?;?;
U+5E17;U+5E17;U+5E17	# ?;?;?;
U+5E18;U+5E18;U+5E18,U+7C3E	# ?;?;?,?;
U+5E19;U+5E19;U+5E19;U+889F	# ?;?;?;?
U+5E1A;U+5E1A;U+5E1A;U+83F7	# ?;?;?;?
U+5E1B;U+5E1B;U+5E1B	# ?;?;?;
U+5E1C;U+5E1C;U+5E1C,U+5E5F	# ?;?;?,?;
U+5E1D;U+5E1D;U+5E1D	# ?;?;?;
U+5E1E;U+5E1E;U+5E1E	# ?;?;?;
U+5E1F;U+5E1F;U+5E1F	# ?;?;?;
U+5E20;U+5E20;U+5E20	# ?;?;?;
U+5E21;U+5E21;U+5E21;U+5E32	# ?;?;?;?
U+5E22;U+5E22;U+5E22	# ?;?;?;
U+5E23;U+5E23;U+5E23	# ?;?;?;
U+5E24;U+5E24;U+5E24	# ?;?;?;
U+5E25;U+5E05;U+5E05,U+5E25	# ?;?;?,?;
U+5E26;U+5E26;U+5E26,U+5E36;U+5E2F	# ?;?;?,?;?
U+5E27;U+5E27;U+5E27,U+5E40	# ?;?;?,?;
U+5E28;U+5E28;U+5E28	# ?;?;?;
U+5E29;U+5E29;U+5E29	# ?;?;?;
U+5E2A;U+5E2A;U+5E2A	# ?;?;?;
U+5E2B;U+5E08;U+5E08,U+5E2B	# ?;?;?,?;
U+5E2C;U+88D9;U+88D9;U+88E0	# ?;?;?;?
U+5E2D;U+5E2D;U+5E2D,U+84C6;U+5ED7	# ?;?;?,?;?
U+5E2E;U+5E2E;U+5E2E,U+5E6B;U+5E5A,U+97A4,U+7E0D,U+5E47	# ?;?;?,?;?,?,?,?
U+5E2F;U+5E26;U+5E26,U+5E36	# ?;?;?,?;
U+5E30;U+5F52;U+5F52,U+6B78;U+7688	# ?;?;?,?;?
U+5E31;U+5E31;U+5E31,U+5E6C	# ?;?;?,?;
U+5E32;U+5E21;U+5E21	# ?;?;?;
U+5E33;U+5E10;U+5E10,U+5E33;U+8CEC,U+8D26	# ?;?;?,?;?,?
U+5E34;U+5E34;U+5E34	# ?;?;?;
U+5E35;U+5E35;U+5E35	# ?;?;?;
U+5E36;U+5E26;U+5E26,U+5E36;U+5E2F	# ?;?;?,?;?
U+5E37;U+5E37;U+5E37	# ?;?;?;
U+5E38;U+5E38;U+5E38	# ?;?;?;
U+5E39;U+5E39;U+5E39	# ?;?;?;
U+5E3A;U+5E3A;U+5E3A;U+8900	# ?;?;?;?
U+5E3B;U+5E3B;U+5E3B,U+5E58	# ?;?;?,?;
U+5E3C;U+5E3C;U+5E3C,U+5E57;U+852E	# ?;?;?,?;?
U+5E3D;U+5E3D;U+5E3D	# ?;?;?;
U+5E3E;U+5E3E;U+5E3E	# ?;?;?;
U+5E40;U+5E27;U+5E27,U+5E40	# ?;?;?,?;
U+5E41;U+5E41;U+5E41	# ?;?;?;
U+5E42;U+5E42;U+5E42,U+51AA;U+7F83	# ?;?;?,?;?
U+5E43;U+5E0F;U+5E0F,U+5E43	# ?;?;?,?;
U+5E44;U+5E44;U+5E44	# ?;?;?;
U+5E45;U+5E45;U+5E45	# ?;?;?;
U+5E46;U+5E46;U+5E46	# ?;?;?;
U+5E47;U+5E2E;U+5E2E,U+5E6B;U+5E5A,U+97A4,U+7E0D	# ?;?;?,?;?,?,?
U+5E49;U+5E49;U+5E49	# ?;?;?;
U+5E4A;U+5E4A;U+5E4A	# ?;?;?;
U+5E4B;U+5E4B;U+5E4B	# ?;?;?;
U+5E4C;U+5E4C;U+5E4C	# ?;?;?;
U+5E4D;U+5E4D;U+5E4D	# ?;?;?;
U+5E4E;U+5E4E;U+5E4E	# ?;?;?;
U+5E4F;U+5E4F;U+5E4F	# ?;?;?;
U+5E50;U+5E50;U+5E50	# ?;?;?;
U+5E52;U+5E52;U+5E52	# ?;?;?;
U+5E53;U+5E53;U+5E53	# ?;?;?;
U+5E54;U+5E54;U+5E54	# ?;?;?;
U+5E55;U+5E55;U+5E55;U+5E59	# ?;?;?;?
U+5E56;U+5E56;U+5E56	# ?;?;?;
U+5E57;U+5E3C;U+5E3C,U+5E57;U+852E	# ?;?;?,?;?
U+5E58;U+5E3B;U+5E3B,U+5E58	# ?;?;?,?;
U+5E59;U+5E55;U+5E55,U+5E59	# ?;?;?,?;
U+5E5A;U+5E2E;U+5E2E,U+5E6B;U+97A4,U+7E0D,U+5E47	# ?;?;?,?;?,?,?
U+5E5B;U+5E5B;U+5E5B	# ?;?;?;
U+5E5C;U+5E5C;U+5E5C	# ?;?;?;
U+5E5D;U+5E5D;U+5E5D	# ?;?;?;
U+5E5E;U+5E5E;U+5E5E	# ?;?;?;
U+5E5F;U+5E1C;U+5E1C,U+5E5F	# ?;?;?,?;
U+5E60;U+5E60;U+5E60	# ?;?;?;
U+5E61;U+5E61;U+5E61	# ?;?;?;
U+5E62;U+5E62;U+5E62	# ?;?;?;
U+5E63;U+5E01;U+5E01,U+5E63;U+5E64	# ?;?;?,?;?
U+5E64;U+5E01;U+5E01,U+5E63	# ?;?;?,?;
U+5E65;U+5E65;U+5E65	# ?;?;?;
U+5E66;U+5E66;U+5E66	# ?;?;?;
U+5E67;U+5E67;U+5E67	# ?;?;?;
U+5E68;U+5E68;U+5E68	# ?;?;?;
U+5E69;U+5E69;U+5E69	# ?;?;?;
U+5E6A;U+5E6A;U+5E6A	# ?;?;?;
U+5E6B;U+5E2E;U+5E2E,U+5E6B;U+5E5A,U+97A4,U+7E0D,U+5E47	# ?;?;?,?;?,?,?,?
U+5E6C;U+5E31;U+5E31,U+5E6C	# ?;?;?,?;
U+5E6D;U+5E6D;U+5E6D	# ?;?;?;
U+5E6E;U+5E6E;U+5E6E	# ?;?;?;
U+5E6F;U+5E6F;U+5E6F	# ?;?;?;
U+5E70;U+5E70;U+5E70	# ?;?;?;
U+5E71;U+8955;U+8955,U+8974	# ?;?;?,?;
U+5E72;U+4E7E;U+5E72,U+4E7E,U+5E79;U+4E81,U+69A6,U+6F27	# ?;?;?,?,?;?,?,?
U+5E73;U+5E73;U+5E73	# ?;?;?;
U+5E74;U+5E74;U+5E74;U+79CA	# ?;?;?;?
U+5E75;U+5E75;U+5E75	# ?;?;?;
U+5E76;U+5E76;U+5E76,U+4E26,U+4F75;U+5002,U+7ADD,U+5E77	# ?;?;?,?,?;?,?,?
U+5E77;U+5E76;U+5E76;U+5002,U+4F75,U+4E26,U+7ADD	# ?;?;?;?,?,?,?
U+5E78;U+5E78;U+5E78,U+5016	# ?;?;?,?;
U+5E79;U+4E7E;U+5E72,U+5E79;U+4E81,U+4E7E,U+69A6,U+6F27	# ?;?;?,?;?,?,?,?
U+5E7A;U+4E48;U+5E7A,U+4E48;U+9EBC,U+5E85,U+9EBD	# ?;?;?,?;?,?,?
U+5E7B;U+5E7B;U+5E7B	# ?;?;?;
U+5E7C;U+5E7C;U+5E7C	# ?;?;?;
U+5E7D;U+5E7D;U+5E7D	# ?;?;?;
U+5E7E;U+51E0;U+51E0,U+5E7E	# ?;?;?,?;
U+5E7F;U+5E7F;U+5E7F,U+5EE3;U+5E83	# ?;?;?,?;?
U+5E80;U+5E80;U+5E80	# ?;?;?;
U+5E81;U+5385;U+5E81,U+5EF3;U+5EF0,U+539B,U+5385	# ?;?;?,?;?,?,?
U+5E82;U+4EC4;U+4EC4,U+5E82	# ?;?;?,?;
U+5E83;U+5E7F;U+5E7F,U+5EE3	# ?;?;?,?;
U+5E84;U+5E84;U+5E84,U+838A;U+8358	# ?;?;?,?;?
U+5E85;U+4E48;U+4E48,U+9EBC;U+5E7A,U+9EBD	# ?;?;?,?;?,?
U+5E86;U+5E86;U+5E86,U+6176	# ?;?;?,?;
U+5E87;U+5E87;U+5E87	# ?;?;?;
U+5E88;U+5E88;U+5E88	# ?;?;?;
U+5E89;U+5E89;U+5E89	# ?;?;?;
U+5E8A;U+5E8A;U+5E8A;U+7240	# ?;?;?;?
U+5E8B;U+5E8B;U+5E8B	# ?;?;?;
U+5E8C;U+5E8C;U+5E8C	# ?;?;?;
U+5E8D;U+5E8D;U+5E8D	# ?;?;?;
U+5E8E;U+5E8E;U+5E8E	# ?;?;?;
U+5E8F;U+5E8F;U+5E8F	# ?;?;?;
U+5E90;U+5E90;U+5E90,U+5EEC	# ?;?;?,?;
U+5E91;U+5E91;U+5E91,U+5EE1	# ?;?;?,?;
U+5E93;U+5E93;U+5E93,U+5EAB	# ?;?;?,?;
U+5E94;U+5E94;U+5E94,U+61C9;U+5FDC,U+8B4D	# ?;?;?,?;?,?
U+5E95;U+5E95;U+5E95;U+538E	# ?;?;?;?
U+5E96;U+5E96;U+5E96	# ?;?;?;
U+5E97;U+576B;U+5E97;U+576B	# ?;?;?;?
U+5E98;U+5E98;U+5E98	# ?;?;?;
U+5E99;U+5E99;U+5E99,U+5EDF;U+5EBF	# ?;?;?,?;?
U+5E9A;U+5E9A;U+5E9A	# ?;?;?;
U+5E9B;U+5E9B;U+5E9B	# ?;?;?;
U+5E9C;U+5E9C;U+5E9C	# ?;?;?;
U+5E9D;U+5E9D;U+5E9D	# ?;?;?;
U+5E9E;U+5E9E;U+5E9E,U+9F90;U+5390,U+9F8E	# ?;?;?,?;?,?
U+5E9F;U+5E9F;U+5E9F,U+5EE2;U+7648,U+5EC3	# ?;?;?,?;?,?
U+5EA0;U+5EA0;U+5EA0	# ?;?;?;
U+5EA1;U+5EA1;U+5EA1	# ?;?;?;
U+5EA2;U+5EA2;U+5EA2	# ?;?;?;
U+5EA3;U+5EA3;U+5EA3	# ?;?;?;
U+5EA4;U+5EA4;U+5EA4	# ?;?;?;
U+5EA5;U+5EA5;U+5EA5	# ?;?;?;
U+5EA6;U+5EA6;U+5EA6	# ?;?;?;
U+5EA7;U+5750;U+5EA7;U+5750	# ?;?;?;?
U+5EA8;U+5EA8;U+5EA8	# ?;?;?;
U+5EA9;U+5EA9;U+5EA9	# ?;?;?;
U+5EAA;U+5EAA;U+5EAA	# ?;?;?;
U+5EAB;U+5E93;U+5E93,U+5EAB	# ?;?;?,?;
U+5EAC;U+5EAC;U+5EAC	# ?;?;?;
U+5EAD;U+5EAD;U+5EAD	# ?;?;?;
U+5EAE;U+5EAE;U+5EAE	# ?;?;?;
U+5EAF;U+5EAF;U+5EAF	# ?;?;?;
U+5EB0;U+5C4F;U+5C4F,U+5EB0;U+5C5B	# ?;?;?,?;?
U+5EB1;U+5EB1;U+5EB1	# ?;?;?;
U+5EB2;U+5EB2;U+5EB2	# ?;?;?;
U+5EB3;U+5EB3;U+5EB3	# ?;?;?;
U+5EB4;U+5EB4;U+5EB4	# ?;?;?;
U+5EB5;U+5EB5;U+5EB5;U+83F4	# ?;?;?;?
U+5EB6;U+5EB6;U+5EB6;U+5EBB,U+8B36	# ?;?;?;?,?
U+5EB7;U+5EB7;U+5EB7	# ?;?;?;
U+5EB8;U+5EB8;U+5EB8	# ?;?;?;
U+5EB9;U+5EB9;U+5EB9	# ?;?;?;
U+5EBB;U+5EB6;U+5EB6;U+8B36	# ?;?;?;?
U+5EBC;U+5EBC;U+5EBC,U+5ECE	# ?;?;?,?;
U+5EBD;U+5BD3;U+5BD3	# ?;?;?;
U+5EBE;U+5EBE;U+5EBE;U+6594,U+659E	# ?;?;?;?,?
U+5EBF;U+5E99;U+5E99,U+5EDF	# ?;?;?,?;
U+5EC1;U+5395;U+5395,U+5EC1;U+53A0	# ?;?;?,?;?
U+5EC2;U+53A2;U+53A2,U+5EC2	# ?;?;?,?;
U+5EC3;U+5E9F;U+5E9F,U+5EE2;U+7648	# ?;?;?,?;?
U+5EC4;U+53A9;U+53A9,U+5EC4;U+5ED0,U+5ECF	# ?;?;?,?;?,?
U+5EC5;U+5EC5;U+5EC5	# ?;?;?;
U+5EC6;U+5EC6;U+5EC6	# ?;?;?;
U+5EC7;U+5EC7;U+5EC7	# ?;?;?;
U+5EC8;U+53A6;U+53A6,U+5EC8	# ?;?;?,?;
U+5EC9;U+5EC9;U+5EC9;U+899D,U+4EB7	# ?;?;?;?,?
U+5ECA;U+5ECA;U+5ECA	# ?;?;?;
U+5ECB;U+5ECB;U+5ECB	# ?;?;?;
U+5ECC;U+5ECC;U+5ECC	# ?;?;?;
U+5ECD;U+5ECD;U+5ECD	# ?;?;?;
U+5ECE;U+5EBC;U+5EBC,U+5ECE	# ?;?;?,?;
U+5ECF;U+53A9;U+53A9,U+5EC4;U+5ED0	# ?;?;?,?;?
U+5ED0;U+53A9;U+53A9,U+5EC4;U+5ECF	# ?;?;?,?;?
U+5ED1;U+5ED1;U+5ED1	# ?;?;?;
