# TLD: .ikano
# Script: Thai
# Version Number: 1.0
# Effective Date: 08-25-2016
# Registry: Ikano S.A., nic@ikano.lu, +352 26 4422

# Code   # Unicode   Specimen  Name
# point  # script    Glyph 
U+0E31   # Thai      ั         THAI CHARACTER MAI HAN-AKAT
U+0E32   # Thai      า         THAI CHARACTER SARA AA
U+0E34   # Thai      ิ         THAI CHARACTER SARA I
U+0E35   # Thai      ี         THAI CHARACTER SARA II
U+0E36   # Thai      ึ         THAI CHARACTER SARA UE
U+0E37   # Thai      ื         THAI CHARACTER SARA UEE
U+0E38   # Thai      ุ         THAI CHARACTER SARA U
U+0E39   # Thai      ู         THAI CHARACTER SARA UU
U+0E3A   # Thai      ฺ         THAI CHARACTER PHINTHU
U+0E40   # Thai      เ         THAI CHARACTER SARA E
U+0E41   # Thai      แ         THAI CHARACTER SARA AE
U+0E42   # Thai      โ         THAI CHARACTER SARA O
U+0E43   # Thai      ใ         THAI CHARACTER SARA AI MAIMUAN
U+0E44   # Thai      ไ         THAI CHARACTER SARA AI MAIMALAI
U+0E45   # Thai      ๅ         THAI CHARACTER LAKKHANGYAO
U+0E46   # Thai      ๆ         THAI CHARACTER MAIYAMOK
U+0E47   # Thai      ็         THAI CHARACTER MAITAIKHU
U+0E48   # Thai      ่         THAI CHARACTER MAI EK
U+0E49   # Thai      ้         THAI CHARACTER MAI THO
U+0E4A   # Thai      ๊         THAI CHARACTER MAI TRI
U+0E4B   # Thai      ๋         THAI CHARACTER MAI CHATTAWA
U+0E4C   # Thai      ์         THAI CHARACTER THANTHAKHAT
U+0E4D   # Thai      ํ         THAI CHARACTER NIKHAHIT
U+0E4E   # Thai      ๎         THAI CHARACTER YAMAKKAN
U+0E50   # Thai      ๐         THAI DIGIT ZERO
U+0E51   # Thai      ๑         THAI DIGIT ONE
U+0E52   # Thai      ๒         THAI DIGIT TWO
U+0E53   # Thai      ๓         THAI DIGIT THREE
U+0E54   # Thai      ๔         THAI DIGIT FOUR
U+0E55   # Thai      ๕         THAI DIGIT FIVE
U+0E56   # Thai      ๖         THAI DIGIT SIX
U+0E57   # Thai      ๗         THAI DIGIT SEVEN
U+0E58   # Thai      ๘         THAI DIGIT EIGHT
U+0E59   # Thai      ๙         THAI DIGIT NINE
