###############################################################
#
# TLD:            COM
# Script:         Mongolian
# Version Number: 1.2
# Effective Date: October 25th, 2014
# Registry:       Verisign, Inc.
# Address:        12061 Bluemont Way, Reston VA 20190, USA
# Telephone:      +1 (703) 925-6999
# Email:          info@verisign-grs.com
# URL:            http://www.verisigninc.com
#
###############################################################


###############################################################
#
# Codepoints allowed from the Mongolian script.
#
###############################################################
U+1810	# MONGOLIAN DIGIT ZERO
U+1871	# MONGOLIAN LETTER SIBE CHA
U+1872	# MONGOLIAN LETTER SIBE ZHA
U+1873	# MONGOLIAN LETTER MANCHU I
U+1874	# MONGOLIAN LETTER MANCHU KA
U+1875	# MONGOLIAN LETTER MANCHU RA
U+1876	# MONGOLIAN LETTER MANCHU FA
U+1877	# MONGOLIAN LETTER MANCHU ZHA
U+1880	# MONGOLIAN LETTER ALI GALI ANUSVARA ONE
U+1881	# MONGOLIAN LETTER ALI GALI VISARGA ONE
U+1882	# MONGOLIAN LETTER ALI GALI DAMARU
U+1883	# MONGOLIAN LETTER ALI GALI UBADAMA
U+1884	# MONGOLIAN LETTER ALI GALI INVERTED UBADAMA
U+1885	# MONGOLIAN LETTER ALI GALI BALUDA
U+1886	# MONGOLIAN LETTER ALI GALI THREE BALUDA
U+1887	# MONGOLIAN LETTER ALI GALI A
U+1888	# MONGOLIAN LETTER ALI GALI I
U+1889	# MONGOLIAN LETTER ALI GALI KA
U+188A	# MONGOLIAN LETTER ALI GALI NGA
U+188B	# MONGOLIAN LETTER ALI GALI CA
U+188C	# MONGOLIAN LETTER ALI GALI TTA
U+188D	# MONGOLIAN LETTER ALI GALI TTHA
U+188E	# MONGOLIAN LETTER ALI GALI DDA
U+188F	# MONGOLIAN LETTER ALI GALI NNA
U+1890	# MONGOLIAN LETTER ALI GALI TA
U+1891	# MONGOLIAN LETTER ALI GALI DA
U+1892	# MONGOLIAN LETTER ALI GALI PA
U+1893	# MONGOLIAN LETTER ALI GALI PHA
U+1894	# MONGOLIAN LETTER ALI GALI SSA
U+1895	# MONGOLIAN LETTER ALI GALI ZHA
U+1896	# MONGOLIAN LETTER ALI GALI ZA
U+1897	# MONGOLIAN LETTER ALI GALI AH
U+1898	# MONGOLIAN LETTER TODO ALI GALI TA
U+1899	# MONGOLIAN LETTER TODO ALI GALI ZHA
U+189A	# MONGOLIAN LETTER MANCHU ALI GALI GHA
U+189B	# MONGOLIAN LETTER MANCHU ALI GALI NGA
U+189C	# MONGOLIAN LETTER MANCHU ALI GALI CA
U+189D	# MONGOLIAN LETTER MANCHU ALI GALI JHA
U+189E	# MONGOLIAN LETTER MANCHU ALI GALI TTA
U+189F	# MONGOLIAN LETTER MANCHU ALI GALI DDHA
U+18A0	# MONGOLIAN LETTER MANCHU ALI GALI TA
U+18A1	# MONGOLIAN LETTER MANCHU ALI GALI DHA
U+18A2	# MONGOLIAN LETTER MANCHU ALI GALI SSA
U+18A3	# MONGOLIAN LETTER MANCHU ALI GALI CYA
U+18A4	# MONGOLIAN LETTER MANCHU ALI GALI ZHA
U+18A5	# MONGOLIAN LETTER MANCHU ALI GALI ZA
U+18A6	# MONGOLIAN LETTER ALI GALI HALF U
U+18A7	# MONGOLIAN LETTER ALI GALI HALF YA
U+18A8	# MONGOLIAN LETTER MANCHU ALI GALI BHA
U+18A9	# MONGOLIAN LETTER ALI GALI DAGALGA
U+18AA	# MONGOLIAN LETTER MANCHU ALI GALI LHA


###############################################################
#
# Common codepoints
#
###############################################################
U+002D	# HYPHEN-MINUS
U+0030	# DIGIT ZERO
U+0031	# DIGIT ONE
U+0032	# DIGIT TWO
U+0033	# DIGIT THREE
U+0034	# DIGIT FOUR
U+0035	# DIGIT FIVE
U+0036	# DIGIT SIX
U+0037	# DIGIT SEVEN
U+0038	# DIGIT EIGHT
U+0039	# DIGIT NINE




