###############################################################
#
# TLD:            NET
# Script:         Cuneiform
# Version Number: 1.2
# Effective Date: October 25th, 2014
# Registry:       Verisign, Inc.
# Address:        12061 Bluemont Way, Reston VA 20190, USA
# Telephone:      +1 (703) 925-6999
# Email:          info@verisign-grs.com
# URL:            http://www.verisigninc.com
#
###############################################################


###############################################################
#
# Codepoints allowed from the Cuneiform script.
#
###############################################################
U+12000	# CUNEIFORM SIGN A
U+12043	# CUNEIFORM SIGN BAHAR2
U+12044	# CUNEIFORM SIGN BAL
U+12045	# CUNEIFORM SIGN BAL OVER BAL
U+12046	# CUNEIFORM SIGN BALAG
U+12047	# CUNEIFORM SIGN BAR
U+12048	# CUNEIFORM SIGN BARA2
U+12049	# CUNEIFORM SIGN BI
U+1204A	# CUNEIFORM SIGN BI TIMES A
U+1204B	# CUNEIFORM SIGN BI TIMES GAR
U+1204C	# CUNEIFORM SIGN BI TIMES IGI GUNU
U+1204D	# CUNEIFORM SIGN BU
U+1204E	# CUNEIFORM SIGN BU OVER BU AB
U+1204F	# CUNEIFORM SIGN BU OVER BU UN
U+12050	# CUNEIFORM SIGN BU CROSSING BU
U+12051	# CUNEIFORM SIGN BULUG
U+12052	# CUNEIFORM SIGN BULUG OVER BULUG
U+12053	# CUNEIFORM SIGN BUR
U+12054	# CUNEIFORM SIGN BUR2
U+12055	# CUNEIFORM SIGN DA
U+12056	# CUNEIFORM SIGN DAG
U+12057	# CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH
U+12058	# CUNEIFORM SIGN DAG KISIM5 TIMES AMAR
U+12059	# CUNEIFORM SIGN DAG KISIM5 TIMES BALAG
U+1205A	# CUNEIFORM SIGN DAG KISIM5 TIMES BI
U+1205B	# CUNEIFORM SIGN DAG KISIM5 TIMES GA
U+1205C	# CUNEIFORM SIGN DAG KISIM5 TIMES GA PLUS MASH
U+1205D	# CUNEIFORM SIGN DAG KISIM5 TIMES GI
U+1205E	# CUNEIFORM SIGN DAG KISIM5 TIMES GIR2
U+1205F	# CUNEIFORM SIGN DAG KISIM5 TIMES GUD
U+12060	# CUNEIFORM SIGN DAG KISIM5 TIMES HA
U+12061	# CUNEIFORM SIGN DAG KISIM5 TIMES IR
U+12062	# CUNEIFORM SIGN DAG KISIM5 TIMES IR PLUS LU
U+12063	# CUNEIFORM SIGN DAG KISIM5 TIMES KAK
U+12064	# CUNEIFORM SIGN DAG KISIM5 TIMES LA
U+12065	# CUNEIFORM SIGN DAG KISIM5 TIMES LU
U+12066	# CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2
U+12067	# CUNEIFORM SIGN DAG KISIM5 TIMES LUM
U+12068	# CUNEIFORM SIGN DAG KISIM5 TIMES NE
U+12069	# CUNEIFORM SIGN DAG KISIM5 TIMES PAP PLUS PAP
U+1206A	# CUNEIFORM SIGN DAG KISIM5 TIMES SI
U+1206B	# CUNEIFORM SIGN DAG KISIM5 TIMES TAK4
U+1206C	# CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2
U+1206D	# CUNEIFORM SIGN DAG KISIM5 TIMES USH
U+1206E	# CUNEIFORM SIGN DAM
U+1206F	# CUNEIFORM SIGN DAR
U+12070	# CUNEIFORM SIGN DARA3
U+12071	# CUNEIFORM SIGN DARA4
U+12072	# CUNEIFORM SIGN DI
U+12073	# CUNEIFORM SIGN DIB
U+12074	# CUNEIFORM SIGN DIM
U+12075	# CUNEIFORM SIGN DIM TIMES SHE
U+12076	# CUNEIFORM SIGN DIM2
U+12077	# CUNEIFORM SIGN DIN
U+12078	# CUNEIFORM SIGN DIN KASKAL U GUNU DISH
U+12079	# CUNEIFORM SIGN DISH
U+1207A	# CUNEIFORM SIGN DU
U+1207B	# CUNEIFORM SIGN DU OVER DU
U+1207C	# CUNEIFORM SIGN DU GUNU
U+1207D	# CUNEIFORM SIGN DU SHESHIG
U+1207E	# CUNEIFORM SIGN DUB
U+1207F	# CUNEIFORM SIGN DUB TIMES ESH2
U+12080	# CUNEIFORM SIGN DUB2
U+12081	# CUNEIFORM SIGN DUG
U+12082	# CUNEIFORM SIGN DUGUD
U+12083	# CUNEIFORM SIGN DUH
U+12084	# CUNEIFORM SIGN DUN
U+12085	# CUNEIFORM SIGN DUN3
U+12086	# CUNEIFORM SIGN DUN3 GUNU
U+12087	# CUNEIFORM SIGN DUN3 GUNU GUNU
U+12088	# CUNEIFORM SIGN DUN4
U+12089	# CUNEIFORM SIGN DUR2
U+1208A	# CUNEIFORM SIGN E
U+1208B	# CUNEIFORM SIGN E TIMES PAP
U+1208C	# CUNEIFORM SIGN E OVER E NUN OVER NUN
U+1208D	# CUNEIFORM SIGN E2
U+1208E	# CUNEIFORM SIGN E2 TIMES A PLUS HA PLUS DA
U+1208F	# CUNEIFORM SIGN E2 TIMES GAR
U+12090	# CUNEIFORM SIGN E2 TIMES MI
U+12091	# CUNEIFORM SIGN E2 TIMES SAL
U+12092	# CUNEIFORM SIGN E2 TIMES SHE
U+12093	# CUNEIFORM SIGN E2 TIMES U
U+12094	# CUNEIFORM SIGN EDIN
U+12095	# CUNEIFORM SIGN EGIR
U+12096	# CUNEIFORM SIGN EL
U+12097	# CUNEIFORM SIGN EN
U+12098	# CUNEIFORM SIGN EN TIMES GAN2
U+12099	# CUNEIFORM SIGN EN TIMES GAN2 TENU
U+1209A	# CUNEIFORM SIGN EN TIMES ME
U+1209B	# CUNEIFORM SIGN EN CROSSING EN
U+1209C	# CUNEIFORM SIGN EN OPPOSING EN
U+1209D	# CUNEIFORM SIGN EN SQUARED
U+1209E	# CUNEIFORM SIGN EREN
U+1209F	# CUNEIFORM SIGN ERIN2
U+120A0	# CUNEIFORM SIGN ESH2
U+120A1	# CUNEIFORM SIGN EZEN
U+120A2	# CUNEIFORM SIGN EZEN TIMES A
U+120A3	# CUNEIFORM SIGN EZEN TIMES A PLUS LAL
U+120A4	# CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL
U+120A5	# CUNEIFORM SIGN EZEN TIMES AN
U+120A6	# CUNEIFORM SIGN EZEN TIMES BAD
U+120A7	# CUNEIFORM SIGN EZEN TIMES DUN3 GUNU
U+120A8	# CUNEIFORM SIGN EZEN TIMES DUN3 GUNU GUNU
U+120A9	# CUNEIFORM SIGN EZEN TIMES HA
U+120AA	# CUNEIFORM SIGN EZEN TIMES HA GUNU
U+120AB	# CUNEIFORM SIGN EZEN TIMES IGI GUNU
U+120AC	# CUNEIFORM SIGN EZEN TIMES KASKAL
U+120AD	# CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED
U+120AE	# CUNEIFORM SIGN EZEN TIMES KU3
U+120AF	# CUNEIFORM SIGN EZEN TIMES LA
U+120B0	# CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL
U+120B1	# CUNEIFORM SIGN EZEN TIMES LI
U+120B2	# CUNEIFORM SIGN EZEN TIMES LU
U+120B3	# CUNEIFORM SIGN EZEN TIMES U2
U+120B4	# CUNEIFORM SIGN EZEN TIMES UD
U+120B5	# CUNEIFORM SIGN GA
U+120B6	# CUNEIFORM SIGN GA GUNU
U+120B7	# CUNEIFORM SIGN GA2
U+120B8	# CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA
U+120B9	# CUNEIFORM SIGN GA2 TIMES A PLUS HA
U+120BA	# CUNEIFORM SIGN GA2 TIMES A PLUS IGI
U+120BB	# CUNEIFORM SIGN GA2 TIMES AB2 TENU PLUS TAB
U+120BC	# CUNEIFORM SIGN GA2 TIMES AN
U+120BD	# CUNEIFORM SIGN GA2 TIMES ASH
U+120BE	# CUNEIFORM SIGN GA2 TIMES ASH2 PLUS GAL
U+120BF	# CUNEIFORM SIGN GA2 TIMES BAD
U+120C0	# CUNEIFORM SIGN GA2 TIMES BAR PLUS RA
U+120C1	# CUNEIFORM SIGN GA2 TIMES BUR
U+120C2	# CUNEIFORM SIGN GA2 TIMES BUR PLUS RA
U+120C3	# CUNEIFORM SIGN GA2 TIMES DA
U+120C4	# CUNEIFORM SIGN GA2 TIMES DI
U+120C5	# CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE
U+120C6	# CUNEIFORM SIGN GA2 TIMES DUB
U+120C7	# CUNEIFORM SIGN GA2 TIMES EL
U+120C8	# CUNEIFORM SIGN GA2 TIMES EL PLUS LA
U+120C9	# CUNEIFORM SIGN GA2 TIMES EN
U+120CA	# CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU
U+120CB	# CUNEIFORM SIGN GA2 TIMES GAN2 TENU
U+120CC	# CUNEIFORM SIGN GA2 TIMES GAR
U+120CD	# CUNEIFORM SIGN GA2 TIMES GI
U+120CE	# CUNEIFORM SIGN GA2 TIMES GI4
U+120CF	# CUNEIFORM SIGN GA2 TIMES GI4 PLUS A
U+120D0	# CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU
U+120D1	# CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2
U+120D2	# CUNEIFORM SIGN GA2 TIMES HAL
U+120D3	# CUNEIFORM SIGN GA2 TIMES HAL PLUS LA
U+120D4	# CUNEIFORM SIGN GA2 TIMES HI PLUS LI
U+120D5	# CUNEIFORM SIGN GA2 TIMES HUB2
U+120D6	# CUNEIFORM SIGN GA2 TIMES IGI GUNU
U+120D7	# CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH
U+120D8	# CUNEIFORM SIGN GA2 TIMES KAK
U+120D9	# CUNEIFORM SIGN GA2 TIMES KASKAL
U+120DA	# CUNEIFORM SIGN GA2 TIMES KID
U+120DB	# CUNEIFORM SIGN GA2 TIMES KID PLUS LAL
U+120DC	# CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN
U+120DD	# CUNEIFORM SIGN GA2 TIMES LA
U+120DE	# CUNEIFORM SIGN GA2 TIMES ME PLUS EN
U+120DF	# CUNEIFORM SIGN GA2 TIMES MI
U+120E0	# CUNEIFORM SIGN GA2 TIMES NUN
U+120E1	# CUNEIFORM SIGN GA2 TIMES NUN OVER NUN
U+120E2	# CUNEIFORM SIGN GA2 TIMES PA
U+120E3	# CUNEIFORM SIGN GA2 TIMES SAL
U+120E4	# CUNEIFORM SIGN GA2 TIMES SAR
U+120E5	# CUNEIFORM SIGN GA2 TIMES SHE
U+120E6	# CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR
U+120E7	# CUNEIFORM SIGN GA2 TIMES SHID
U+120E8	# CUNEIFORM SIGN GA2 TIMES SUM
U+120E9	# CUNEIFORM SIGN GA2 TIMES TAK4
U+120EA	# CUNEIFORM SIGN GA2 TIMES U
U+120EB	# CUNEIFORM SIGN GA2 TIMES UD
U+120EC	# CUNEIFORM SIGN GA2 TIMES UD PLUS DU
U+120ED	# CUNEIFORM SIGN GA2 OVER GA2
U+120EE	# CUNEIFORM SIGN GABA
U+120EF	# CUNEIFORM SIGN GABA CROSSING GABA
U+120F0	# CUNEIFORM SIGN GAD
U+120F1	# CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR
U+120F2	# CUNEIFORM SIGN GAL
U+120F3	# CUNEIFORM SIGN GAL GAD OVER GAD GAR OVER GAR
U+120F4	# CUNEIFORM SIGN GALAM
U+120F5	# CUNEIFORM SIGN GAM
U+120F6	# CUNEIFORM SIGN GAN
U+120F7	# CUNEIFORM SIGN GAN2
U+120F8	# CUNEIFORM SIGN GAN2 TENU
U+120F9	# CUNEIFORM SIGN GAN2 OVER GAN2
U+120FA	# CUNEIFORM SIGN GAN2 CROSSING GAN2
U+120FB	# CUNEIFORM SIGN GAR
U+120FC	# CUNEIFORM SIGN GAR3
U+120FD	# CUNEIFORM SIGN GASHAN
U+120FE	# CUNEIFORM SIGN GESHTIN
U+120FF	# CUNEIFORM SIGN GESHTIN TIMES KUR
U+12100	# CUNEIFORM SIGN GI
U+12101	# CUNEIFORM SIGN GI TIMES E
U+12102	# CUNEIFORM SIGN GI TIMES U
U+12103	# CUNEIFORM SIGN GI CROSSING GI
U+12104	# CUNEIFORM SIGN GI4
U+12105	# CUNEIFORM SIGN GI4 OVER GI4
U+12106	# CUNEIFORM SIGN GI4 CROSSING GI4
U+12107	# CUNEIFORM SIGN GIDIM
U+12108	# CUNEIFORM SIGN GIR2
U+12109	# CUNEIFORM SIGN GIR2 GUNU
U+1210A	# CUNEIFORM SIGN GIR3
U+1210B	# CUNEIFORM SIGN GIR3 TIMES A PLUS IGI
U+1210C	# CUNEIFORM SIGN GIR3 TIMES GAN2 TENU
U+1210D	# CUNEIFORM SIGN GIR3 TIMES IGI
U+1210E	# CUNEIFORM SIGN GIR3 TIMES LU PLUS IGI
U+1210F	# CUNEIFORM SIGN GIR3 TIMES PA
U+12110	# CUNEIFORM SIGN GISAL
U+12111	# CUNEIFORM SIGN GISH
U+12112	# CUNEIFORM SIGN GISH CROSSING GISH
U+12113	# CUNEIFORM SIGN GISH TIMES BAD
U+12114	# CUNEIFORM SIGN GISH TIMES TAK4
U+12115	# CUNEIFORM SIGN GISH TENU
U+12116	# CUNEIFORM SIGN GU
U+12117	# CUNEIFORM SIGN GU CROSSING GU
U+12118	# CUNEIFORM SIGN GU2
U+12119	# CUNEIFORM SIGN GU2 TIMES KAK
U+1211A	# CUNEIFORM SIGN GU2 TIMES KAK TIMES IGI GUNU
U+1211B	# CUNEIFORM SIGN GU2 TIMES NUN
U+1211C	# CUNEIFORM SIGN GU2 TIMES SAL PLUS TUG2
U+1211D	# CUNEIFORM SIGN GU2 GUNU
U+1211E	# CUNEIFORM SIGN GUD
U+1211F	# CUNEIFORM SIGN GUD TIMES A PLUS KUR
U+12120	# CUNEIFORM SIGN GUD TIMES KUR
U+12121	# CUNEIFORM SIGN GUD OVER GUD LUGAL
U+12122	# CUNEIFORM SIGN GUL
U+12123	# CUNEIFORM SIGN GUM
U+12124	# CUNEIFORM SIGN GUM TIMES SHE
U+12125	# CUNEIFORM SIGN GUR
U+12126	# CUNEIFORM SIGN GUR7
U+12127	# CUNEIFORM SIGN GURUN
U+12128	# CUNEIFORM SIGN GURUSH
U+12129	# CUNEIFORM SIGN HA
U+1212A	# CUNEIFORM SIGN HA TENU
U+1212B	# CUNEIFORM SIGN HA GUNU
U+1212C	# CUNEIFORM SIGN HAL
U+1212D	# CUNEIFORM SIGN HI
U+1212E	# CUNEIFORM SIGN HI TIMES ASH
U+1212F	# CUNEIFORM SIGN HI TIMES ASH2
U+12130	# CUNEIFORM SIGN HI TIMES BAD
U+12131	# CUNEIFORM SIGN HI TIMES DISH
U+12132	# CUNEIFORM SIGN HI TIMES GAD
U+12133	# CUNEIFORM SIGN HI TIMES KIN
U+12134	# CUNEIFORM SIGN HI TIMES NUN
U+12135	# CUNEIFORM SIGN HI TIMES SHE
U+12136	# CUNEIFORM SIGN HI TIMES U
U+12137	# CUNEIFORM SIGN HU
U+12138	# CUNEIFORM SIGN HUB2
U+12139	# CUNEIFORM SIGN HUB2 TIMES AN
U+1213A	# CUNEIFORM SIGN HUB2 TIMES HAL
U+1213B	# CUNEIFORM SIGN HUB2 TIMES KASKAL
U+1213C	# CUNEIFORM SIGN HUB2 TIMES LISH
U+1213D	# CUNEIFORM SIGN HUB2 TIMES UD
U+1213E	# CUNEIFORM SIGN HUL2
U+1213F	# CUNEIFORM SIGN I
U+12140	# CUNEIFORM SIGN I A
U+12141	# CUNEIFORM SIGN IB
U+12142	# CUNEIFORM SIGN IDIM
U+12143	# CUNEIFORM SIGN IDIM OVER IDIM BUR
U+12144	# CUNEIFORM SIGN IDIM OVER IDIM SQUARED
U+12145	# CUNEIFORM SIGN IG
U+12146	# CUNEIFORM SIGN IGI
U+12147	# CUNEIFORM SIGN IGI DIB
U+12148	# CUNEIFORM SIGN IGI RI
U+12149	# CUNEIFORM SIGN IGI OVER IGI SHIR OVER SHIR UD OVER UD
U+1214A	# CUNEIFORM SIGN IGI GUNU
U+1214B	# CUNEIFORM SIGN IL
U+1214C	# CUNEIFORM SIGN IL TIMES GAN2 TENU
U+1214D	# CUNEIFORM SIGN IL2
U+1214E	# CUNEIFORM SIGN IM
U+1214F	# CUNEIFORM SIGN IM TIMES TAK4
U+12150	# CUNEIFORM SIGN IM CROSSING IM
U+12151	# CUNEIFORM SIGN IM OPPOSING IM
U+12152	# CUNEIFORM SIGN IM SQUARED
U+12153	# CUNEIFORM SIGN IMIN
U+12154	# CUNEIFORM SIGN IN
U+12155	# CUNEIFORM SIGN IR
U+12156	# CUNEIFORM SIGN ISH
U+12157	# CUNEIFORM SIGN KA
U+12158	# CUNEIFORM SIGN KA TIMES A
U+12159	# CUNEIFORM SIGN KA TIMES AD
U+1215A	# CUNEIFORM SIGN KA TIMES AD PLUS KU3
U+1215B	# CUNEIFORM SIGN KA TIMES ASH2
U+1215C	# CUNEIFORM SIGN KA TIMES BAD
U+1215D	# CUNEIFORM SIGN KA TIMES BALAG
U+1215E	# CUNEIFORM SIGN KA TIMES BAR
U+1215F	# CUNEIFORM SIGN KA TIMES BI
U+12160	# CUNEIFORM SIGN KA TIMES ERIN2
U+12161	# CUNEIFORM SIGN KA TIMES ESH2
U+12162	# CUNEIFORM SIGN KA TIMES GA
U+12163	# CUNEIFORM SIGN KA TIMES GAL
U+12164	# CUNEIFORM SIGN KA TIMES GAN2 TENU
U+12165	# CUNEIFORM SIGN KA TIMES GAR
U+12166	# CUNEIFORM SIGN KA TIMES GAR PLUS SHA3 PLUS A
U+12167	# CUNEIFORM SIGN KA TIMES GI
U+12168	# CUNEIFORM SIGN KA TIMES GIR2
U+12169	# CUNEIFORM SIGN KA TIMES GISH PLUS SAR
U+1216A	# CUNEIFORM SIGN KA TIMES GISH CROSSING GISH
U+1216B	# CUNEIFORM SIGN KA TIMES GU
U+1216C	# CUNEIFORM SIGN KA TIMES GUR7
U+1216D	# CUNEIFORM SIGN KA TIMES IGI
U+1216E	# CUNEIFORM SIGN KA TIMES IM
U+1216F	# CUNEIFORM SIGN KA TIMES KAK
U+12170	# CUNEIFORM SIGN KA TIMES KI
U+12171	# CUNEIFORM SIGN KA TIMES KID
U+12172	# CUNEIFORM SIGN KA TIMES LI
U+12173	# CUNEIFORM SIGN KA TIMES LU
U+12174	# CUNEIFORM SIGN KA TIMES ME
U+12175	# CUNEIFORM SIGN KA TIMES ME PLUS DU
U+12176	# CUNEIFORM SIGN KA TIMES ME PLUS GI
U+12177	# CUNEIFORM SIGN KA TIMES ME PLUS TE
U+12178	# CUNEIFORM SIGN KA TIMES MI
U+12179	# CUNEIFORM SIGN KA TIMES MI PLUS NUNUZ
U+1217A	# CUNEIFORM SIGN KA TIMES NE
U+1217B	# CUNEIFORM SIGN KA TIMES NUN
U+1217C	# CUNEIFORM SIGN KA TIMES PI
U+1217D	# CUNEIFORM SIGN KA TIMES RU
U+1217E	# CUNEIFORM SIGN KA TIMES SA
U+1217F	# CUNEIFORM SIGN KA TIMES SAR
U+12180	# CUNEIFORM SIGN KA TIMES SHA
U+12181	# CUNEIFORM SIGN KA TIMES SHE
U+12182	# CUNEIFORM SIGN KA TIMES SHID
U+12183	# CUNEIFORM SIGN KA TIMES SHU
U+12184	# CUNEIFORM SIGN KA TIMES SIG
U+12185	# CUNEIFORM SIGN KA TIMES SUHUR
U+12186	# CUNEIFORM SIGN KA TIMES TAR
U+12187	# CUNEIFORM SIGN KA TIMES U
U+12188	# CUNEIFORM SIGN KA TIMES U2
U+12189	# CUNEIFORM SIGN KA TIMES UD
U+1218A	# CUNEIFORM SIGN KA TIMES UMUM TIMES PA
U+1218B	# CUNEIFORM SIGN KA TIMES USH
U+1218C	# CUNEIFORM SIGN KA TIMES ZI
U+1218D	# CUNEIFORM SIGN KA2
U+1218E	# CUNEIFORM SIGN KA2 CROSSING KA2
U+1218F	# CUNEIFORM SIGN KAB
U+12190	# CUNEIFORM SIGN KAD2
U+12191	# CUNEIFORM SIGN KAD3
U+12192	# CUNEIFORM SIGN KAD4
U+12193	# CUNEIFORM SIGN KAD5
U+12194	# CUNEIFORM SIGN KAD5 OVER KAD5
U+12195	# CUNEIFORM SIGN KAK
U+12196	# CUNEIFORM SIGN KAK TIMES IGI GUNU
U+12197	# CUNEIFORM SIGN KAL
U+12198	# CUNEIFORM SIGN KAL TIMES BAD
U+12199	# CUNEIFORM SIGN KAL CROSSING KAL
U+1219A	# CUNEIFORM SIGN KAM2
U+1219B	# CUNEIFORM SIGN KAM4
U+1219C	# CUNEIFORM SIGN KASKAL
U+1219D	# CUNEIFORM SIGN KASKAL LAGAB TIMES U OVER LAGAB TIMES U
U+1219E	# CUNEIFORM SIGN KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U
U+1219F	# CUNEIFORM SIGN KESH2
U+121A0	# CUNEIFORM SIGN KI
U+121A1	# CUNEIFORM SIGN KI TIMES BAD
U+121A2	# CUNEIFORM SIGN KI TIMES U
U+121A3	# CUNEIFORM SIGN KI TIMES UD
U+121A4	# CUNEIFORM SIGN KID
U+121A5	# CUNEIFORM SIGN KIN
U+121A6	# CUNEIFORM SIGN KISAL
U+121A7	# CUNEIFORM SIGN KISH
U+121A8	# CUNEIFORM SIGN KISIM5
U+121A9	# CUNEIFORM SIGN KISIM5 OVER KISIM5
U+121AA	# CUNEIFORM SIGN KU
U+121AB	# CUNEIFORM SIGN KU OVER HI TIMES ASH2 KU OVER HI TIMES ASH2
U+121AC	# CUNEIFORM SIGN KU3
U+121AD	# CUNEIFORM SIGN KU4
U+121AE	# CUNEIFORM SIGN KU4 VARIANT FORM
U+121AF	# CUNEIFORM SIGN KU7
U+121B0	# CUNEIFORM SIGN KUL
U+121B1	# CUNEIFORM SIGN KUL GUNU
U+121B2	# CUNEIFORM SIGN KUN
U+121B3	# CUNEIFORM SIGN KUR
U+121B4	# CUNEIFORM SIGN KUR OPPOSING KUR
U+121B5	# CUNEIFORM SIGN KUSHU2
U+121B6	# CUNEIFORM SIGN KWU318
U+121B7	# CUNEIFORM SIGN LA
U+121B8	# CUNEIFORM SIGN LAGAB
U+121B9	# CUNEIFORM SIGN LAGAB TIMES A
U+121BA	# CUNEIFORM SIGN LAGAB TIMES A PLUS DA PLUS HA
U+121BB	# CUNEIFORM SIGN LAGAB TIMES A PLUS GAR
U+121BC	# CUNEIFORM SIGN LAGAB TIMES A PLUS LAL
U+121BD	# CUNEIFORM SIGN LAGAB TIMES AL
U+121BE	# CUNEIFORM SIGN LAGAB TIMES AN
U+121BF	# CUNEIFORM SIGN LAGAB TIMES ASH ZIDA TENU
U+121C0	# CUNEIFORM SIGN LAGAB TIMES BAD
U+121C1	# CUNEIFORM SIGN LAGAB TIMES BI
U+121C2	# CUNEIFORM SIGN LAGAB TIMES DAR
U+121C3	# CUNEIFORM SIGN LAGAB TIMES EN
U+121C4	# CUNEIFORM SIGN LAGAB TIMES GA
U+121C5	# CUNEIFORM SIGN LAGAB TIMES GAR
U+121C6	# CUNEIFORM SIGN LAGAB TIMES GUD
U+121C7	# CUNEIFORM SIGN LAGAB TIMES GUD PLUS GUD
U+121C8	# CUNEIFORM SIGN LAGAB TIMES HA
U+121C9	# CUNEIFORM SIGN LAGAB TIMES HAL
U+121CA	# CUNEIFORM SIGN LAGAB TIMES HI TIMES NUN
U+121CB	# CUNEIFORM SIGN LAGAB TIMES IGI GUNU
U+121CC	# CUNEIFORM SIGN LAGAB TIMES IM
U+121CD	# CUNEIFORM SIGN LAGAB TIMES IM PLUS HA
U+121CE	# CUNEIFORM SIGN LAGAB TIMES IM PLUS LU
U+121CF	# CUNEIFORM SIGN LAGAB TIMES KI
