# Registry: Charleston Road Registry Inc.
#
# Script: Latin
#
# Version: 1.0
#
# Effective Date: 04-12-2012
#
# Address: 1600 Amphitheatre Parkway Mountain View, CA 94043, USA
#
# Telephone: +1 (650) 253-0000
#
# Website: www.charlestonroadregistry.com
#
# Notes: This table describes codepoints allowed for the Latin script.

U+002D                         # HYPHEN-MINUS
U+1E81                         # LATIN SMALL LETTER W WITH GRAVE
U+0175                         # LATIN SMALL LETTER W WITH CIRCUMFLEX
U+1E85                         # LATIN SMALL LETTER W WITH DIAERESIS
U+0078                         # LATIN SMALL LETTER X
U+0079                         # LATIN SMALL LETTER Y
U+00FD                         # LATIN SMALL LETTER Y WITH ACUTE
U+1EF3                         # LATIN SMALL LETTER Y WITH GRAVE
U+0177                         # LATIN SMALL LETTER Y WITH CIRCUMFLEX
U+00FF                         # LATIN SMALL LETTER Y WITH DIAERESIS
U+007A                         # LATIN SMALL LETTER Z
U+017A                         # LATIN SMALL LETTER Z WITH ACUTE
U+017E                         # LATIN SMALL LETTER Z WITH CARON
U+017C                         # LATIN SMALL LETTER Z WITH DOT ABOVE
U+0292                         # LATIN SMALL LETTER EZH
U+01EF                         # LATIN SMALL LETTER EZH WITH CARON
U+00FE                         # LATIN SMALL LETTER THORN
